steam_appid,name,windows,mac,linux,metacritic,steam_achievements,steam_trading_cards,workshop_support,genres,achievements_total,release_date
2574000,Femboy Burgers,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Casual, Indie",,"Oct 9, 2023"
2574120,PPA Pickleball Tour 2025,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Indie, Simulation, Sports",18,"Jul 16, 2024"
2573200,Squeaky Squad,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Indie",27,"Mar 29, 2024"
2573440,Paradox Metal,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Early Access",,Coming soon
2569520,Naturpark Lillebælt VR,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure",,"Sep 18, 2023"
2567670,A Lively Haunt,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Indie",,"Sep 7, 2023"
2567380,Luctus,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Indie, RPG",,2025
2567550,Moto Rally Racing VR,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Casual, Racing, RPG, Simulation",,"Jan 31, 2024"
2567050,Orb Of The Watcher,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Indie, RPG, Early Access",13,"Sep 2, 2024"
2565000,Why God?,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Casual, Indie, Free To Play",25,"Sep 23, 2024"
2564370,超级机霸(Super Ship Blaster),TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Casual, Indie, Racing",0,"Sep 27, 2023"
2563130,Backrooms: Infinite Halls,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Indie, Early Access",,Coming soon
2561310,K2: Digital Edition,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Casual, Indie, Strategy",,2025
2560650,College Sex Party 🔞,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, RPG, Simulation",20,"Sep 16, 2023"
2558070,The Impossible Tower,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Casual, Indie",,"Sep 27, 2023"
2556490,Drift Vector,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Indie",,Coming soon
2552310,Dungeon Inn,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Casual, Indie, Simulation, Strategy, Early Access",,"Nov 13, 2024"
2549270,Code Name: Operation Dawn,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Casual, Indie, Free To Play",,"Aug 31, 2023"
2548000,Highway Cleaners,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Casual, Indie, Racing",6,"Dec 11, 2023"
2543690,RedLine,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Indie, Racing, Simulation",,Coming soon
2543320,UNCULT,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Indie",4,"Jun 20, 2024"
2542520,V Gate,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Casual, Indie, Simulation, Strategy, Early Access",,"Sep 29, 2023"
2540000,Super Spooky Subgame Spectacular,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,Casual,45,"Sep 5, 2023"
2537910,Black Otaku 2: Taekwondo is in my Blood,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,Action,,Q4 2025
2534850,Micro Rogue,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Indie, RPG",,To be announced
2532760,Dreadsite Survival,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access",,Coming soon
2532780,Anaphora,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,Action,16,"Nov 21, 2023"
2532110,CabbageBall,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Casual, RPG, Sports",,To be announced
2531170,Lord of Darkness: Aftermath,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Indie, RPG",,"Dec 2, 2023"
2526620,We're Closed Sorry,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,Action,,"Aug 20, 2023"
2525870,What's Outside,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Casual, Indie, Strategy",,"Dec 11, 2024"
2525630,Adventure of the Skullmancer,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Indie, RPG, Strategy",,Coming soon
2522550,Mini Garden Cafe,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Casual, Indie, Simulation",,"Aug 31, 2023"
2522620,Lucky gem,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,Casual,,"Aug 21, 2023"
2520180,OnlyRun,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Casual",,"Aug 6, 2023"
2517180,Adopted Passion Realize Your Dream,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Casual, Indie, Racing, Simulation, Early Access",,"Dec 28, 2023"
2517360,Magical Blaster,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,Action,,Coming soon
2516700,Dance Dash Beatmap Editor,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Indie, Utilities, Game Development, Early Access",,"Sep 20, 2023"
2514310,Mr. K.I.S.S.,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Casual, Indie, Early Access",,Coming soon
2513620,伏羲氏,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Indie, RPG",,Coming soon
2510660,Angular Velocity,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Casual, Indie, Sports",,To be announced
2508680,Guardians of Lodino Forest,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Indie, Sports",,"Aug 21, 2023"
2508050,Morigami,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Indie, Free To Play",,To be announced
2507090,Tales of Terrabanthis: Fall of the Demonlords,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Indie, RPG, Strategy, Early Access",,Apr-26
2505620,CyberStrike Chronicles,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Casual, Indie, Racing",,To be announced
2503360,Containment Zones,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,Adventure,,"Dec 21, 2023"
2499320,The Last Exodus,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Indie, Strategy, Early Access",,"Sep 3, 2023"
3221510,Pixelmancy Playtest,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,"Sep 13, 2024"
3212370,OKeverything with 3000 beauties 3,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,RPG,,"Dec 7, 2024"
3210790,The Stairway,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Casual, Indie, Free To Play",,"Nov 9, 2024"
3207070,Richest Thief,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Casual",,"Oct 2, 2024"
3206830,The Bookman,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Simulation",1,"Dec 5, 2024"
3202410,Bad Dream: Afterlife,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Indie",,To be announced
3200090,释梦之祩,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Casual, Indie, RPG",,2025
3195070,Paint Puzzle Quest,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Casual, Indie, Strategy",,"Sep 23, 2024"
3194120,Outrun Depression,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Casual, Indie",14,"Nov 25, 2024"
3192670,Downcave,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Casual, Indie",26,"Dec 14, 2024"
3192760,vHand,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Animation & Modeling, Design & Illustration",,"Oct 18, 2024"
3190540,Mirror Soul!,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Casual, Indie",,2025
3185820,Buried Horrors,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Indie",,To be announced
3184250,Deep Snake,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,Action,,To be announced
3179780,双生木,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Indie, RPG, Free To Play",,Coming soon
3177130,Stock Exchange Game,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Indie, Simulation",,"Jan 16, 2025"
3173440,Doomwalker,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Indie, RPG, Early Access",9,"Oct 25, 2024"
3172140,Path of the Oxiflame,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Casual, Indie",,To be announced
3169780,Jenny Lusby: Intergalactic Adventures,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Casual, Indie",,Coming soon
3167610,Deck of Destiny: Battleforge,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Casual, Indie, RPG, Strategy, Early Access",,2025
3166850,Find Cats 3 旅行猫咪,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Casual, Indie",21,"Jan 9, 2025"
3167220,祖母 grandmother,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Casual, Indie, RPG, Strategy",,Q2 2025
3165720,Fellowship Playtest,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,"Sep 24, 2024"
3165320,Playing God,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Indie",21,"Nov 22, 2024"
3161520,NecroWorld,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Indie, RPG",,"Feb 27, 2025"
3160950,Vampires Fable,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,Adventure,,Coming soon
3153060,Illegal Dealership Simulator,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Indie, Simulation",,Coming soon
3295350,StarSim: BattleZone,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,Strategy,,2025
3295650,Escape from Dead City,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Indie, Massively Multiplayer",,To be announced
3294880,不安ごと,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Indie, Simulation, Early Access",,Coming soon
3295230,Happy Hotel,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Indie",6,"Dec 5, 2024"
3294180,KOTA: The Survival,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,Indie,,Coming soon
3293470,Operation Blackfox,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Indie",,"Nov 13, 2024"
3292320,The Dispatcher,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Indie, Free To Play",17,"Feb 4, 2025"
3291240,Match3 x Tetris,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Casual, Strategy",,Coming soon
3285410,Sizebound,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Indie",,2025
3284750,Infection Roots Deluxe,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure",,Feb-25
3283790,Ryder,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, Casual, Indie",,2025
3282490,Fate Town!,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Adventure, RPG, Simulation",,Dec-25
3282640,Insurrection Playtest,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,"Oct 14, 2024"
3282130,Exo Helljumper: Descent X,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Action, Adventure, Indie, RPG",,Coming soon
2113660,Hentai Furry 3,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,"Casual, Indie",40,"Aug 23, 2022"
